,Model,Subsystem,pvalue,ReactionRatio
184,DEN_AdjLiver_WD,Nucleotide metabolism,0.08230788625641178,0.5263157894736842
185,DEN_AdjLiver_WD,Tryptophan metabolism,0.02479824238169035,1.0
186,DEN_AdjLiver_WD,Starch and sucrose metabolism,0.02479824238169035,1.0
187,DEN_AdjLiver_WD,Glycerophospholipid metabolism,0.1382451921494452,0.5625
188,DEN_AdjLiver_WD,Fatty acid oxidation,0.11637623287424036,0.5333333333333333
189,DEN_AdjLiver_WD,Pyruvate metabolism,0.1144139596782528,0.8888888888888888
190,DEN_AdjLiver_WD,Glycolysis / Gluconeogenesis,0.02863783285426389,0.4444444444444444
191,DEN_AdjLiver_WD,Amino sugar and nucleotide sugar metabolism,0.24060194045437133,0.6666666666666666
192,DEN_AdjLiver_WD,Carnitine shuttle (cytosolic),0.24060194045437133,0.6666666666666666
193,DEN_AdjLiver_WD,"Transport, peroxisomal",0.056696527776209794,1.0
194,DEN_AdjLiver_WD,Glycosphingolipid metabolism,0.056696527776209794,1.0
195,DEN_AdjLiver_WD,Fatty acid biosynthesis,0.1534849856643181,0.875
196,DEN_AdjLiver_WD,"Phenylalanine, tyrosine and tryptophan metabolism",0.1534849856643181,0.875
197,DEN_AdjLiver_WD,Pyrimidine catabolism,0.13965213546854438,0.5384615384615384
198,DEN_AdjLiver_WD,"Transport, endoplasmic reticular",0.08562862318598635,1.0
199,DEN_AdjLiver_WD,Pentose phosphate pathway,0.11253784125595558,0.5
200,DEN_AdjLiver_WD,Cysteine and methionine metabolism,0.08562862318598635,1.0
201,DEN_AdjLiver_WD,Lysine metabolism,0.08562862318598635,1.0
202,DEN_AdjLiver_WD,NAD metabolism,0.16906487619883953,0.5454545454545454
203,DEN_AdjLiver_WD,Purine metabolism,0.1381152662346269,0.5
204,DEN_AdjLiver_WD,Artificial reactions,0.2615778489105973,0.8333333333333334
205,DEN_AdjLiver_WD,"Alanine, aspartate and glutamate metabolism",0.2753934702498076,0.625
206,DEN_AdjLiver_WD,Fatty acid desaturation,0.2615778489105973,0.8333333333333334
207,DEN_AdjLiver_WD,Miscellaneous,0.08414644523141716,0.45454545454545453
208,DEN_AdjLiver_WD,Histidine metabolism,0.1948676641130968,1.0
209,DEN_AdjLiver_WD,"Glycine, serine, alanine, and threonine metabolism",0.17251299389226202,0.5
210,DEN_AdjLiver_WD,Galactose metabolism,0.32821366387632434,0.8
211,DEN_AdjLiver_WD,Omega-6 fatty acid metabolism,0.17251299389226202,0.5
212,DEN_AdjLiver_WD,Folate metabolism,0.2936301393339203,1.0
213,DEN_AdjLiver_WD,Sphingolipid metabolism,0.2936301393339203,1.0
214,DEN_AdjLiver_WD,Oxidative phosphorylation,0.33119742445692857,0.6
215,DEN_AdjLiver_WD,Arginine and proline metabolism,0.007292459583626482,0.2727272727272727
216,DEN_AdjLiver_WD,Pool reactions,0.3950499008835073,0.75
217,DEN_AdjLiver_WD,Cholesterol metabolism,0.4421097789520002,1.0
218,DEN_AdjLiver_WD,ROS detoxification,0.29830298638161384,0.5
219,DEN_AdjLiver_WD,Sulfur metabolism,0.4421097789520002,1.0
220,DEN_AdjLiver_WD,Propanoate metabolism,0.4454389188533432,0.6666666666666666
221,DEN_AdjLiver_WD,Inositol phosphate metabolism,0.29830298638161384,0.5
222,DEN_AdjLiver_WD,Acylglycerides metabolism,0.4454389188533432,0.6666666666666666
223,DEN_AdjLiver_WD,Glycerolipid metabolism,0.4421097789520002,1.0
224,DEN_AdjLiver_WD,Fructose and Mannose metabolism,0.4454389188533432,0.6666666666666666
225,DEN_AdjLiver_WD,Butanoate metabolism,0.6651651651652891,1.0
226,DEN_AdjLiver_WD,Tetrahydrobiopterin metabolism,0.6651651651652891,1.0
227,DEN_AdjLiver_WD,Carnitine shuttle (peroxisomal),0.6651651651652891,1.0
228,DEN_AdjLiver_WD,Biopterin metabolism,0.6651651651652891,1.0
229,DEN_AdjLiver_WD,Tyrosine metabolism,0.6651651651652891,1.0
230,DEN_AdjLiver_WD,Steroid metabolism,0.6651651651652891,1.0
231,DEN_AdjLiver_WD,"Transport, nuclear",0.6651651651652891,1.0
232,DEN_Tumour_WD,Exchange reactions,0.00018971366444707306,0.8823529411764706
